Date,Category,Region,Quantity,UnitPrice,TotalSales,PaymentMethod
2024-01-01,Sports,East,5,66.71,333.57,Net Banking
2024-01-01,Electronics,East,5,486.46,2432.3,UPI
2024-01-01,Clothing,South,4,59.61,238.42,Credit Card
2024-01-01,Electronics,South,3,222.11,666.32,Debit Card
2024-01-01,Clothing,South,1,83.71,83.71,Net Banking
2024-01-01,Clothing,East,5,29.74,148.68,Net Banking
2024-01-02,Home & Kitchen,North,2,181.07,362.14,Debit Card
2024-01-02,Electronics,East,1,482.53,482.53,Net Banking
2024-01-02,Sports,West,5,121.53,607.65,Net Banking
2024-01-02,Electronics,West,3,139.48,418.44,Debit Card
2024-01-03,Electronics,East,4,198.9,795.62,Credit Card
2024-01-03,Home & Kitchen,East,1,172.8,172.8,Debit Card
2024-01-03,Electronics,East,2,61.44,122.88,Credit Card
2024-01-03,Clothing,South,5,32.26,161.3,Credit Card
2024-01-04,Sports,North,1,135.41,135.41,UPI
2024-01-04,Clothing,East,1,24.35,24.35,Net Banking
2024-01-04,Books,East,3,23.5,70.51,UPI
2024-01-04,Clothing,West,1,20.52,20.52,Net Banking
2024-01-04,Home & Kitchen,North,1,93.99,93.99,Credit Card
2024-01-04,Home & Kitchen,South,5,63.57,317.85,UPI
2024-01-05,Electronics,South,5,334.54,1672.69,Net Banking
2024-01-05,Clothing,South,5,42.71,213.53,Net Banking
2024-01-05,Clothing,East,1,47.87,47.87,Net Banking
2024-01-05,Electronics,East,2,166.07,332.15,Debit Card
2024-01-05,Electronics,West,4,301.23,1204.93,UPI
2024-01-06,Books,South,1,45.94,45.94,Net Banking
2024-01-06,Electronics,South,3,488.15,1464.45,Credit Card
2024-01-06,Sports,West,4,131.15,524.61,Credit Card
2024-01-06,Home & Kitchen,North,4,65.08,260.33,Net Banking
2024-01-06,Clothing,West,3,57.72,173.17,Debit Card
2024-01-07,Clothing,West,1,99.54,99.54,Debit Card
2024-01-07,Home & Kitchen,North,5,193.45,967.26,Net Banking
2024-01-07,Clothing,East,3,62.33,186.98,Credit Card
2024-01-07,Electronics,West,2,164.37,328.75,Debit Card
2024-01-07,Home & Kitchen,East,2,176.07,352.15,Credit Card
2024-01-07,Clothing,North,1,48.73,48.73,Net Banking
2024-01-07,Home & Kitchen,West,3,71.58,214.73,Debit Card
2024-01-08,Electronics,East,3,107.18,321.53,UPI
2024-01-08,Electronics,North,4,235.11,940.44,Net Banking
2024-01-08,Home & Kitchen,East,3,24.56,73.69,Credit Card
2024-01-08,Home & Kitchen,North,2,63.16,126.32,Credit Card
2024-01-08,Sports,North,5,55.97,279.83,Net Banking
2024-01-08,Clothing,North,1,22.8,22.8,UPI
2024-01-09,Clothing,South,5,29.72,148.61,UPI
2024-01-09,Home & Kitchen,South,2,174.17,348.34,Net Banking
2024-01-09,Electronics,East,1,440.24,440.24,UPI
2024-01-09,Electronics,North,3,473.66,1420.98,Debit Card
2024-01-09,Electronics,East,2,67.53,135.07,UPI
2024-01-09,Home & Kitchen,South,3,145.41,436.24,UPI
2024-01-09,Home & Kitchen,North,1,122.33,122.33,Credit Card
2024-01-10,Clothing,East,5,72.79,363.93,Net Banking
2024-01-10,Clothing,West,1,91.12,91.12,Net Banking
2024-01-10,Electronics,East,4,308.05,1232.19,Net Banking
2024-01-10,Home & Kitchen,West,1,195.36,195.36,Credit Card
2024-01-10,Home & Kitchen,North,3,157.07,471.22,Debit Card
2024-01-10,Electronics,North,2,228.49,456.99,Net Banking
2024-01-11,Clothing,West,1,44.77,44.77,Credit Card
2024-01-11,Home & Kitchen,South,3,22.04,66.13,UPI
2024-01-11,Electronics,North,1,384.9,384.9,Debit Card
2024-01-11,Electronics,North,5,483.45,2417.25,UPI
2024-01-11,Clothing,East,5,74.11,370.55,Net Banking
2024-01-11,Electronics,North,3,455.52,1366.56,Credit Card
2024-01-11,Clothing,West,2,54.41,108.83,Credit Card
2024-01-12,Electronics,East,1,175.89,175.89,UPI
2024-01-12,Electronics,South,3,376.57,1129.72,UPI
2024-01-12,Electronics,East,1,399.92,399.92,Net Banking
2024-01-13,Sports,East,5,34.42,172.1,Credit Card
2024-01-13,Home & Kitchen,North,5,158.42,792.09,Debit Card
2024-01-13,Electronics,South,1,479.32,479.32,Credit Card
2024-01-14,Electronics,East,2,284.14,568.28,UPI
2024-01-14,Home & Kitchen,South,1,95.7,95.7,Debit Card
2024-01-14,Books,East,4,32.19,128.77,UPI
2024-01-14,Home & Kitchen,North,1,131.98,131.98,UPI
2024-01-14,Electronics,West,2,396.01,792.03,Credit Card
2024-01-14,Electronics,East,3,84.14,252.42,Net Banking
