Date,Temperature_C,Humidity_Pct,Rainfall_mm,WindSpeed_kmh
2024-01-01,9.5,81.4,19.7,6.8
2024-01-02,7.9,85.8,6.9,7.1
2024-01-03,9.9,83.1,0.0,12.1
2024-01-04,12.2,81.8,0.0,8.3
2024-01-05,7.8,80.9,0.0,12.2
2024-01-06,7.9,84.8,0.0,7.6
2024-01-07,12.5,83.5,0.0,13.4
2024-01-08,10.5,89.9,1.2,9.8
2024-01-09,7.5,89.8,0.0,23.2
2024-01-10,10.1,93.7,0.0,7.3
2024-01-11,7.6,81.1,0.0,14.7
2024-01-12,7.7,89.2,0.0,3.9
2024-01-13,9.6,84.3,0.0,5.3
2024-01-14,4.2,95.0,0.0,21.5
2024-01-15,4.8,83.1,0.0,13.1
2024-01-16,7.8,80.6,0.0,10.7
2024-01-17,6.8,82.6,0.0,26.5
2024-01-18,10.2,72.2,0.0,7.7
2024-01-19,7.2,82.6,1.5,14.7
2024-01-20,6.1,82.4,0.0,15.3
2024-01-21,13.4,81.1,7.4,19.0
2024-01-22,9.2,85.3,0.0,3.6
2024-01-23,10.1,92.3,0.0,7.7
2024-01-24,6.5,90.6,0.0,9.7
2024-01-25,8.8,81.1,0.0,18.8
2024-01-26,10.5,78.1,0.0,10.4
2024-01-27,7.5,87.5,0.0,15.4
2024-01-28,11.4,75.2,0.0,3.4
2024-01-29,9.1,92.8,0.0,6.6
2024-01-30,10.0,88.9,0.0,16.8
2024-01-31,9.4,81.1,0.0,7.2
2024-02-01,15.7,69.9,0.0,8.1
2024-02-02,11.1,88.9,0.0,18.6
2024-02-03,8.7,83.5,2.4,4.5
2024-02-04,13.5,86.4,0.0,5.3
2024-02-05,8.6,76.2,5.5,3.1
2024-02-06,12.3,78.2,0.0,19.0
2024-02-07,7.0,85.4,0.0,14.0
2024-02-08,8.7,84.2,0.0,13.8
2024-02-09,12.7,78.6,0.0,6.5
2024-02-10,14.2,82.7,10.4,2.9
2024-02-11,13.0,75.3,0.0,2.3
2024-02-12,12.4,80.4,0.0,16.9
2024-02-13,12.1,81.9,0.0,11.1
